Name,Specialty,Link
Aaron Sanders Head,"Natural dyes, whole-cloth quilting, hand-stitching",https://www.instagram.com/aaronsandershead/
Aitor Saraiba,"Embroidery, natural dyeing, mending",https://www.instagram.com/aitorsaraiba/
Alexis Deise,Contemporary quilts,https://www.instagram.com/alexisdeise
Allie McCathren,"Raw-edge appliqué / seaglass fabric art, quilting",https://www.instagram.com/exhaustedoctopus/
Angee Turner,Bold improv quilting,https://www.instagram.com/angeequilts/
Anitha Reddy,Siddi women's quilts scholar,https://www.instagram.com/anithanreddy/
arounna khounnoraj,"Embroidery, punch needle, visible mending, patchwork",https://www.bookhou.com/
Athena Nemeth,"Embroidery on unconventional objects, medieval-manuscript inspired narrative textile art",https://www.instagram.com/athena_nemeth/
Beverly Smith,Mixed-media art quilts,https://www.beverlysmithquiltart.com/
Cal Patch,"Garment sewing, mending, pattern drafting",https://calpatch.com/
Carolina Oneto,"Modern quilting, color theory, patchwork",https://carolinaoneto.com/
Casey Engel,"Hand-dyed/hand-quilted textiles, ceramics, printmaking",https://www.instagram.com/casey__engel/
Catherine Marie Longtin,"Minimalist quilting, English paper piecing",https://www.instagram.com/catherinemarielongtin
cathy fussell,"Art quilts (map quilts, landscape/narrative fiber art)",https://www.instagram.com/cathyfussell
Celia pym,Visible mending/darning as art practice,https://www.instagram.com/celiapym/
Chris English,Quilts from found/recycled fabric,https://www.instagram.com/afullenglish/
christi johnson,"Embroidery, natural dyeing, patchwork/reclaimed textiles",https://www.instagram.com/christijay/
Claire Voelkel-Sedlmeir,Sentimental hand stitching / embroidery storytelling,https://www.clairevoelkel.com/
Dijanne Cevaal,"Hand-dyed/printed fabric, stitched travel-story art quilts",https://www.instagram.com/origidij/
Elizabeth Oniri,Mixed-media textile art & education,https://www.elizabethoniri.art/
Émilie Trahan,Improvisational modern quilting,https://www.instagram.com/mili.tra
Emily Van Hoff,Sculptural/3D quilt art & fabric pattern design,https://www.emilyvanhoff.com/
Jennifer Candon,"Improv quilting, large-scale textile murals",https://www.instagram.com/jennifercandon
Jesse Cutts,Free-form/improvisational quilting & patchwork,https://www.cuttsandsons.com/
Johanna Flanagan,Textile doll-making / soft sculpture,https://thepalerook.com/
Julius Arthur,Hand quilting / textile art,https://houseofquinn.co.uk/
Katerina Knight,Botanical/nature embroidery & needlelace,https://www.katerinaknight.co.uk/workshops
Kathryn Chambers,Slowstitch textile storytelling,https://www.unfoldingstories.uk/kathryn-chambers.html
Kazue Yoshikawa,Sashiko embroidery,https://www.instagram.com/sashiko.lab/
Kianga Jinaki,Mixed-media quilts & dolls,https://www.instagram.com/kiangaart_gallery/
Lisbeth Degn,"Collage, printing & stitching / mixed media textiles",https://www.dragenkunst.dk/
Loi Laing,Surface Design,https://www.instagram.com/loilaing/
Maday Delgado,Sustainable/upcycled textile art & quilting,https://www.instagram.com/sustainabletextiledesign/
Mimi Kirchner,Hand-embroidered/appliquéd fiber art dolls,https://www.instagram.com/mimikirchner/
Paolo Arao,Sewn paintings / textile geometric abstraction,https://www.instagram.com/paolo_arao/
Paula Kovarik,Art quilts (intuitive stitched narrative work),https://www.paulakovarik.com/
"Rachel Mims, LPC, C-AT",Mixed-media art / art therapy,https://www.wildfreeart.com/
Rita Summers,"Eco-dyeing, upcycled/vintage textile art",https://gonerustic.com
Russell Barratt,Upcycled/repurposed clothing quilts & textile collage,https://www.instagram.com/russelljamesbarratt/
Sara Impey,Free-motion machine-stitched text art quilts,https://www.saraimpey.com/
Serena Rios McRae,Surface design; eraser carving,https://www.instagram.com/cactuscloudsart
Tilleke Schwarz,Narrative hand embroidery,https://www.instagram.com/tillekeschwarz/
Tomomi Mimura,Mosaic darning embroidery,https://www.instagram.com/mimstermade/
Wendy Wild,Modern quilting,https://www.instagram.com/thenextstitch/
